,单词,翻译,出现次数
3533,fashioned,adj.…式的，…风的;,5
3534,novels,n.（长篇）小说( novel的名词复数 );,5
3535,interrupted,adj.被遮断的;被阻止的;不通的;中断的;v.打断( interrupt的过去式和过去分词 );暂停;中断;阻断;,5
3536,rand,n.鞋后根与鞋底中间的垫皮，边缘;,5
3537,overtake,vt.追上，赶上;压倒;（不愉快的事）突然降临;,5
3538,permanent,adj.永久（性）的，永恒的，不变的，耐久的，持久的，经久的;稳定的;常务的，常设的;n.电烫发，烫发;,5
3539,dietary,adj.饮食的，规定食物的;n.规定的食物;食谱;,5
3540,chocolate,n.巧克力;巧克力糖;巧克力色;adj.（含有）巧克力的;巧克力色的;,5
3541,supported,v.支持( support的过去式和过去分词 );帮助;支撑;维持;,5
3542,mathematics,n.数学;〈诗〉同“ripen”;算学;,5
3543,autism,n.孤独症，自我中心主义;,5
3544,unusually,adv.非常;不寻常地，异乎寻常地;显著地;出奇;,5
3545,monitor,n.显示屏，屏幕;[计]显示器;监测仪;监控人员，班长;vt.监控，监听;搜集，记录;测定;监督;vi.监视;,5
3546,inherited,adj.通过继承得到的，遗传的;继承权的;v.继承( inherit的过去式和过去分词 );经遗传获得（品质、身体特征等）接替（责任等），继任;,5
3547,surveys,none,5
3548,borrow,vt.& vi.借入;借钱，借用;[数]由上位借;抄袭;n.借，借用;担保物，抵押;[英史]什一税;,5
3549,motors,n.马达，发动机( motor的名词复数 );,5
3550,earning,n.所赚的钱，收入;v.赚得( earn的现在分词 );挣钱;生（利）;获（利）;,5
3551,fired,v.开火，射击( fire的过去式和过去分词 );<口>解雇;射（箭）;激励;,5
3552,seattle,n.西雅图;,5
3553,suggesting,none,5
3554,zeh,none,5
3555,output,n.产量;输出;作品;[计]输出信号;vt.输出;,5
3556,worthy,adj.应得某事物;值得做某事;可尊敬的;配得上的，相称的;n.杰出人物，伟人;,5
3557,amusing,adj.有趣的，好玩的，逗人笑的;,5
3558,ahead,adv.在（某人或某事物的）前面;向前;预先;在将来，为未来;,5
3559,midday,n.中午;正午;adj.正午的;,5
3560,agricultural,adj.农业的，耕种的;农艺的，农学的;,5
3561,premium,n.额外费用;保险费;附加费;adj.高昂的;优质的;,5
3562,justice,n.正义;公正;法律制裁;审判员，法官;,5
3563,socializing,v.（与…）交往，联谊( socialize的现在分词 );使适合于过社会生活;,5
3564,exposure,n.暴露;揭发;公开;（商品等的）展出;,5
3565,informal,adj.（语言） 非正式的;口语体的;不拘礼节的;友好随便的;,5
3566,mobility,n.流动性;移动性;<社>流动;机动性;,5
3567,immobile,adj.固定的;不变的;稳定的;,5
3568,gardening,n.园艺;,5
3569,norms,n.标准( norm的名词复数 );规范;准则;行为模式;,5
3570,remembered,none,5
3571,essence,n.本质，实质;精华，精髓;香精;,5
3572,housework,n.家务劳动;,5
3573,northern,none,5
3574,melted,v.（使）融[溶，熔]化( melt的过去式和过去分词 );溶解;（使）消散，消失;（使）软化，变得温柔;,5
3575,surely,adv.无疑;一定，确实;（回答）当然，好;保管;,5
3576,reproduce,vt.& vi.复制，重现，再版;生殖，繁殖;vt.使再次发生;再现;,5
3577,cooked,adj.煮[烹]熟的;v.烹调( cook的过去式和过去分词 );编造;篡改;密谋;,5
3578,prediction,n.[气]预测，预报;预言;预言的事物;,5
3579,reliability,n.可靠，可信赖;,5
3580,rounded,adj.圆形的;丰满的;全面的;[语]圆唇的;vi.&vt.round的过去式和过去分词;,5
3581,petroleum,n.石油;,5
3582,emotion,n.情感，感情;情绪;感动，激动;,5
3583,religious,adj.虔诚的;笃信宗教的;宗教的;谨慎的;n.修士，修女，出家人;,5
3584,delight,n.快乐，高兴;使人高兴的东西或人;vt.使高兴，使欣喜;vi.感到高兴[快乐];,5
3585,genuine,adj.真正的;坦率的，真诚的;血统纯粹的，纯种的;[医学]真性的;,5
3586,infants,none,5
3587,generations,n.代( generation的名词复数 );（家史中的）一代;产生;一批;,5
3588,beijing,none,5
3589,opera,n.歌剧;歌剧艺术， 歌剧业;作品( opus的名词复数 );砌;,5
3590,bookshelves,n.书架;书架( bookshelf的名词复数 );,5
3591,gestures,none,5
3592,height,n.高度，海拔;高地;身高;绝顶，顶点;,5
3593,walked,none,5
3594,films,none,5
3595,tent,n.帐篷;帐篷状物;塞子;vi.住帐蓬;vt.用帐蓬遮盖;向…供应帐逢;将塞条嵌进（伤口）;观察，看护，照料;,5
3596,tourist,n.旅行者，观光客;〈美〉冬季到南部做工的流动工人;,5
3597,italians,none,5
3598,impacted,adj.压紧的，结实的;冲击式;,5
3599,carl,n.<古>村夫;<废>奴隶;<方>粗野的人;,5
3600,flat,adj.平的;单调的;不景气的;干脆的;adv.（尤指贴着另一表面）平直地;断然地;水平地;直接地，完全地;n.平地;公寓;平面;vt.使变平;[音乐]使（音调）下降，尤指降半音;vi.逐渐变平;[音乐]以降调唱（或奏）;,5
3601,computing,none,5
3602,youwill,none,5
3603,connection,n.连接;联系，关系;连接点;亲戚;,5
3604,panda,n.熊猫;猫熊;,5
3605,netizens,abbr.Internet citizens 网络公民;,5
3606,principals,n.负责人( principal的名词复数 );[法律]本人;主要的人（或物）;,5
3607,ineffective,adj.无效果的;低效率的;不起作用的;无能力的;,5
3608,gregersen,none,5
3609,penalties,none,5
3610,tons,adv.<非正>非常;n.吨（ ton的名词复数 ）;大量;许多;（尤指）每小时 100 英里的速度;,5
3611,onlookers,n.旁观者，观看者( onlooker的名词复数 );,5
3612,perfection,n.完美;完善;最后加工;圆满;,5
3613,robot,n.机器人;遥控装置;自动机;机械呆板的人;,5
3614,golden,adj.金（黄）色的;金质的;美好的 ;,5
3615,miners,none,5
3616,videos,none,4
3617,brewing,n.酿造;v.调制( brew的现在分词 );酝酿;沏（茶）;煮（咖啡）;,4
3618,ingredient,n.（混合物的）组成部分;（烹调的）原料;（构成）要素;因素;,4
3619,site,n.地点，位置，场所;[计算机]网站;遗址;地皮;vt.使坐落在;安放，设置;给…造址;为…提供场所;,4
3620,crops,n.作物( crop的名词复数 );短发;一群（人）;（谷物、水果等一季的）收成;,4
3621,staple,n.主要产品;钉书钉，U 形钉;主题，主要部份;主食;vt.用钉书钉钉住;adj.最基本的，最重要的;,4
3622,walls,n.墙( wall的名词复数 );屏障;隔阂;壁垒;,4
3623,restructuring,none,4
3624,organising,none,4
3625,argues,none,4
3626,electronics,n.电子学;电子学应用，电子器件;电子工业;电子流行音乐;,4
3627,resorting,none,4
3628,clinic,n.诊所，门诊部;特殊病例分析;临床讲授;临床实习课;,4
3629,army,n.军队;陆军;团体;野战军;,4
3630,fighting,adj.战斗的;好战的;作战用的;适于打斗的;n.战斗;斗志;宣战言论;微小但值得一搏的机会;v.战斗( fight的现在分词 );斗争;打架;吵架;,4
3631,thumb,n.拇指;（手套的）拇指部份;vi.翘起拇指请求搭乘（过路汽车），示意请求搭便车;翻阅;vt.翻阅;作搭车手势;用拇指翻脏[翻坏]（书页等）;,4
3632,jump,vt.跳;跳过;快速移动;（因吃惊、害怕或激动而）猛地一动;vi.暴涨;跳跃;猛增;n.猛长，暴涨;（需要跳越的）障碍;跳伞;,4
3633,warns,none,4
3634,delay,n.延迟，拖延;耽搁;被耽搁或推迟的时间;vt.延期，推迟;耽搁;vi.延缓，延期;,4
3635,hackman,n.<美>出租汽车司机，出租马车车夫;,4
3636,possibility,n.可能，可能性;希望，可能发生的事物;,4
3637,agreed,adj.同意的;接受的;经过协议的;双方共同议定的;v.同意，赞同( agree的过去式和过去分词);[语法学]（在性、数、人称或格方面）一致;相同;和睦相处;,4
3638,membership,n.会员资格;会员身份;会员全体;,4
3639,pizzas,none,4
3640,consulting,adj.商议的，顾问资格的，咨询的;v.商议，商量( consult的现在分词 );请教;翻阅;求教于;,4
3641,loosely,adv.松散的，蓬松的;轻易，轻松地，随手地，随意地;大意，粗略地，不严格的;无力地，软绵绵地;,4
3642,meetings,n.相会( meeting的名词复数 );聚会;会议;运动会;,4
3643,poorly,adv.穷困地;差劲地;看不起地;adj.身体不舒服的;健康欠佳的;,4
3644,scholars,n.奖学金获得者( scholar的名词复数 );学者;聪颖勤奋的学生;文人学士;,4
3645,migration,n.迁移，移居;,4
3646,affecting,adj.感人的，动人的;v.影响( affect的现在分词 );假装;感动;（疾病）侵袭;,4
3647,refer,vi.提到;针对;关系到;请教;vt.归因于…;使求助于;送交;认为…起源于;vt.& vi.参考，查阅;,4
3648,offerings,n.祭品( offering的名词复数 );用品;提供或提出之物;（争吵后为表示歉意送的）和平礼物;,4
3649,expectation,n.期待;预期;前程;[数]期望值;,4
3650,employ,vt.雇用;使用，利用;n.受雇;服务;工作;,4
3651,harmony,n.协调;融洽，一致;和谐;[音]和声;,4
3652,fierce,adj.凶猛的，残忍的;猛烈的;狂热的;,4
3653,worsening,v.（使）变得更坏，（使）恶化( worsen的现在分词 );,4
3654,hopeful,adj.抱有希望的;给人以希望的;n.有成功希望的人;,4
3655,cautious,adj.小心的，谨慎的;兢;恮;持重;,4
3656,seemingly,adv.看来似乎;表面上看来;貌似;,4
3657,interfere,vi.干预，干涉;调停，排解;妨碍，打扰;,4
3658,interference,n.干涉，干扰，冲突;介入;妨碍，打扰，阻碍物;冲突，抵触;,4
3659,begins,none,4
3660,appreciated,none,4
3661,stroke,n.一击;击球;划水动作;中风;vt.划掉;轻抚;轻触;敲击;vi.击球;作尾桨手，指挥划桨;,4
3662,represents,none,4
3663,grows,none,4
3664,aging,n.老化;老龄化;（酒等的）陈化;熟化;v.使变老;（使）长大( age的现在分词 );使显老;使变老;使苍老;,4
3665,enlarge,vt.& vi.扩大，放大;扩展，扩充;拉长说，详述;,4
3666,sixth,pron.第六;第六感觉;特别感应;直觉;n.（英国中学的最高年级）六年级;[乐]六度音程;,4
3667,catching,adj.传染性的;吸引人的;v.抓住( catch的现在分词);赶上;,4
3668,waits,none,4
3669,aaa,none,4
3670,boosted,none,4
3671,advertise,vt.做广告，做宣传;通告，通知;宣扬;vi.登广告，做广告;做宣传;,4
3672,estimated,adj.估计的;预计的;估算的;v.估计，评价，评估( estimate的过去式和过去分词 );（粗略）估计（…的距离、价值、数目、大小、重量、费用等），估量，预算;,4
3673,zirkle,none,4
3674,reporter,n.记者;,4
3675,nicaragua,n.（国名）尼加拉瓜;,4
3676,rescued,none,4
3677,authorities,n.当局，权力，权威;权威( authority的名词复数 );权力;学术权威;[复数]当权者;,4
3678,banned,none,4
3679,input,n.输入，投入;输入电路;<电>输入端;输入的数据;vt.把…输入电脑;[自][电子] 输入;输入，给料;,4
3680,resume,v.重新开始;继续;恢复职位;,4
3681,suits,none,4
3682,positions,n.职位( position的名词复数 );地位;阵地;状态;,4
3683,texting,none,4
3684,literacy,n.识字;有文化;能读能写;精通文学;,4
3685,scored,adj.得分，进球（score的过去式）;刮伤的;,4
3686,apples,n.苹果，苹果树( apple的名词复数 );[美国口语]棒球;[美国英语][保龄球]坏球;苹果属植物的果实（如野生酸苹果、沙果）;,4
3687,africa,n.非洲;adj.非洲的;,4
3688,donkeys,none,4
3689,updates,n.补充资料，更新材料;v.更新，使现代化( update的第三人称单数 );向…提供最新信息;,4
3690,church,n.[宗]教堂;[宗]教徒;[宗]教派;[宗]教会;adj.教会的;礼拜的;vt.领…到教堂接受宗教仪式;,4
3691,travelling,adj.旅行的;巡回的;旅行用的;n.旅行;,4
3692,comparing,v.比较，对照( compare的现在分词 );把…比做;比喻;比拟（常与 to连用）;,4
3693,breeding,n.生育;（动物的）饲养;教养（尤指行为或礼貌方面）;<核>增殖;v.生育( breed的现在分词 );繁殖;孕育;导致;,4
3694,tractors,n.拖拉机( tractor的名词复数 );牵引机;（牵引式挂车的）牵引车;拖车头;,4
3695,horse,n.马;骑马的军人，骑兵;有脚的架;跳马，鞍马;vt.为…备马;猛推或用力向上举;vi.欲交配，，用于母马;adj.马的;骑在马背上的;马拉的，使用马力的;较大的，较粗硬的;,4
3696,county,n.县，郡;县民，郡民;,4
3697,attorney,n.代理人;律师;,4
3698,provider,n.供应者，提供者，（尤指）维持家庭生计者;,4
3699,fined,adj.罚款的;被罚的;v.动词fine的过去式和过去分词形式;,4
3700,wireless,adj.不用电线的，用无线电波传送的;n.无线电，无线电话系统;无线电接收机或发射机;,4
3701,december,n.12月;,4
3702,shifted,none,4
3703,clarity,n.清楚，明晰;透明;明确;清晰度;,4
3704,lab,"n.实验室，研究室;Lab,英国政治工党;分析室;暗室;",4
3705,subsequent,adj.后来的;随后的;作为结果而发生的;附随的;,4
3706,lists,n.竞技场;一览表( list的名词复数 );目录;名单;清单;,4
3707,patihis,none,4
3708,mississippi,n.密西西比河（发源于美国中北部湖沼区，南注墨西哥湾，是世界上最大的河流之一），密西西比州（美国州名）;,4
3709,tendency,n.倾向，趋势;（话或作品等的）旨趣，意向;性情;癖好;,4
3710,absorbed,adj.被…吸引住，专心致志，全神贯注;adv.专心致志地，全神贯注地;n.专心致志，全神贯注;v.吸收（液体、气体等）( absorb的过去式);支付;吞并;使全神贯注(absorb的过去分词形式);,4
3711,visual,adj.视觉的，看得见的;光学的，视力的;形象化的;光学的;n.画面，图象;,4
3712,plus,prep.（表示运算）加;（表示包容）外加;[口语]和;（表示数目）在零（度）以上;n.加号;[数学]正量;好处;附加物;adj.加的;正的;附加的;比所示数量多的;,4
3713,paintings,n.上油漆( painting的名词复数 );作画;（一幅）水彩画;涂漆;,4
3714,noticed,v.注意（ notice的过去式和过去分词 ）;觉察;,4
3715,unpleasant,adj.使人不愉快的;不合意的;讨厌的;不客气的;,4
3716,hagerty,none,4
3717,reimagined,none,4
3718,terrifying,adj.可怕的;极大的;v.使恐怖，使惊吓;恐吓(terrify的现在分词);,4
3719,leap,vi.跳;冲动的行动;vt.跳过，跃过;使跳跃;n.跳跃，飞跃;跳跃的距离;,4
3720,preparation,n.准备，预备;准备工作;配制品;制剂;,4
3721,energetic,adj.精力充沛的，充满活力的;精力旺盛的，精神饱满的;（措施等）积极的，有力的;雄健;,4
3722,undergoes,none,4
3723,radical,adj.根本的，基本的;激进的;彻底的;[植]根生的;n.激进分子;根基，原子团;[数学]根数;,4
3724,transformation,n.变化;<核>转换;<语>转换;<电>变换;,4
3725,traditions,n.传统( tradition的名词复数 );惯例;,4
3726,fancy,vt.想像;设想;想要;猜想;n.设想;想像力;爱好;怪想;adj.（构思者）奇特的;昂贵的;（价格等）高价的;[美国俚语]真棒;vi.想象，幻想;,4
3727,favored,adj.受到优待的;有天赋的;受优惠的;有利的;v.支持( favor的过去式和过去分词 );赞成;照顾;促成;,4
3728,tiny,adj.极小的，微小的;n.小孩子;[医]癣;,4
3729,symbols,n.象征( symbol的名词复数 );标志;符号;记号;,4
3730,endure,vt.忍耐;容忍;vi.持续，持久;忍耐;,4
3731,shaped,adj.合适的;成某种形状的;有计划的;有目标的;v.成形(shape的过去分词和过去式);发展;,4
3732,symbol,n.象征;标志;符号;记号;vt.用符号代表;,4
3733,paint,n.颜料，涂料;绘画作品;胭脂等化妆品;色彩，装饰;vt.涂色于;绘画;（用语言，文字等）描写;擦脂粉等;vi.描绘;绘画;化妆;,4
3734,delta,n.希腊语字母表第四字母δ;（河流的）三角洲;[数]变量增量;,4
3735,learners,n.学习者，初学者，见习驾驶员( learner的名词复数 );,4
3736,absent,adj.缺席的，不在场的;缺少的，缺乏的;不在意的，茫然的;,4
3737,minded,adj.有…思想的;,4
3738,crashed,none,4
3739,pulled,v.拉( pull的过去式和过去分词 );扯;拉过来;划（船）;,4
3740,mode,n.方式;状况;时尚，风尚;调式;,4
3741,removed,adj.离开的;远离…的;与…无关的;隔代的;v.开除;去除;脱去（衣服等）;,4
3742,stopping,v.停止( stop的现在分词 );中断;逗留;（使）停止工作;,4
3743,poisonous,adj.有毒的;有害的;恶意的;<口>讨厌的;,4
3744,slept,v.睡觉（ sleep的过去式和过去分词 ）;,4
3745,silver,n.银;银币;银制品;银色;adj.银制的;像银的;银色的;银白色的;vt.（在某物上）镀银;使具有银色光泽，使变成银色;,4
3746,traveler,n.旅行支票;旅行信用卡;（常）出远门的人;巡回推销员;,4
3747,porter,n.门童;搬运工人;（医院里护送病人的）护工;（尤指卧铺车厢的）列车服务员;,4
3748,sir,n.先生;（用于姓名前）爵士;（中小学生对男教师的称呼）先生;老师;,4
3749,ben,n.内室，起居室;[苏格兰]峰，山顶;,4
3750,aunt,n.阿姨;姨母，姑妈;舅妈;婶娘;,4
3751,terrified,adj.很害怕的，极度惊慌的，吓坏了的;v.使恐怖，使惊吓，恐吓( terrify的过去式和过去分词 );,4
3752,remove,vt.开除;去除;脱掉，拿下;迁移;vi.迁移，移居;离开;n.距离，差距;移动;,4
3753,campaign,n.运动;竞选运动;战役;季节性竞赛;vi.参加[发起]运动，参加竞选;参战，参加战役;作战;,4
3754,stylish,adj.时髦的，流行的，入时的;现代风格的;漂亮的;,4
3755,era,n.纪元，年代;历史时期，时代;重大事件;,4
3756,jeans,n.牛仔裤;瘦腿紧身裤;,4
3757,calm,adj.镇定的;平静的;（海洋，天气等）安静的，平静的;（人）从容不迫的;vt.& vi.（使）平静，（使）镇定;（使）镇静;n.平静;镇定;安定;无风;vt.使安静;使冷静;使镇定;使（疼痛等）减轻;vi.安静下来，平静下来，镇静下来;,4
3758,underground,adj.地下的;秘密的;先锋派的;隐蔽的;,4
3759,collect,vt.收集;收藏;接走;聚积;vi.募捐;募集;adj.由受话人付费的;,4
3760,hide,vt.隐藏;躲避，隐匿，躲藏;遮蔽，覆盖;vi.隐瞒;遮住;遮挡;掩盖;n.兽皮;<口>生命;<口>人的皮肤;（观看野生动物的）隐蔽处;,4
3761,snow,n.雪，雪花;积雪;雪季;vt.使纷纷落下;使变白;下雪;被雪覆盖，被雪阻挡;vi.降雪;,4
3762,hate,vt.仇恨，憎恨;厌恶;对…感到不喜欢或讨厌;vi.恨;n.强烈的仇恨或厌恶，恨;仇恨或讨厌的对象;,4
3763,muscle,n.肌肉;力量;权威，权力;vt.硬挤;使劲搬动;vi.用力挤;,4
3764,exercising,v.锻炼，训练，练习( exercise的现在分词 );锻炼（身体某部位）;使焦虑;发挥（作用）;,4
3765,cups,n.杯子( cup的名词复数 );一杯（的量）;（胸罩的）罩杯;优胜杯;,4
3766,reverse,vt.& vi.（使）反转;（使）颠倒;掉换，交换;[法]撤消，推翻;vi.倒退;[桥牌]逆叫;adj.反面的;颠倒的;倒开的;[生]倒卷的;n.倒转，反向;[机]回动;倒退;失败;,4
3767,vigorous,adj.有力的;精力充沛的;充满活力的;朝气蓬勃的;,4
3768,renewal,n.重建，重生;更新，革新;重申;合同的续订;,4
3769,scared,adj.恐惧的;惊恐的;担心的;v.使害怕（scare的过去分词）;,4
3770,serving,n.服务;（食物或饮料的）一份;上菜;adj.用于上菜的;v.（为…）服务( serve的现在分词);任（职）;提供;端上;,4
3771,shut,vt.& vi.关闭;合上;打烊;闭上;adj.关闭;停业;合拢;关门;,4
3772,confronting,none,4
3773,alternatives,n.选择的余地( alternative的名词复数 );可供选择的事物;取舍;非传统（或他择性）生活方式的追随者（或鼓吹者）;,4
3774,fussy,adj.大惊小怪的;难取悦的;易烦恼的;（衣着，字句等上）充分讲究的;,4
3775,considerations,n.考虑( consideration的名词复数 );报酬;仔细考虑;（对他人的）考虑周到;,4
3776,comparable,adj.可比较的;比得上的;,4
3777,tobacco,n.烟草，烟叶;烟草制品;卷烟;纸烟;,4
3778,oxford,n.牛津鞋（一种系鞋带的皮鞋）oxfords;,4
3779,zero,n.（数字）0;零度;adj.全无的，没有的;v. .聚焦，集中;,4
3780,ferreira,none,4
3781,encouragement,n.鼓励;支持（的事物）;激励;促进（的事物）;,4
3782,psychologists,none,4
3783,generates,none,4
3784,boomers,abbr.baby boomer generation 从小就赶往新兴地区安家的一代人;,4
3785,football,n.足球〔美国通常指橄榄球〕;足球运动;屡屡引起争论（或分歧）的问题;被踢来踢去的难题;,4
3786,connections,n.连接( connection的名词复数 );联系;亲戚;连接点;,4
3787,dropping,n.滴下;滴下物;空投;兽粪;v.（使）落下( drop的现在分词 );投下;（使）降低;减少;,4
3788,noticeable,adj.显而易见的，明显的;引人注目的，令人瞩目的;显著的，重要的;可以察觉的;,4
3789,talented,adj.有才能的，有才干的;能干的;,4
3790,advisory,adj.劝告的，忠告的;提供咨询的;顾问的;n.报告;公告;,4
3791,freshmen,n.（中学或大学的）一年级学生( freshman的名词复数 );,4
3792,exams,abbr.examinations 考试;n.<口>考试( exam的名词复数 );,4
3793,controversial,adj.有争议的，引起争议的，被争论的;好争论的;,4
3794,discipline,vt.训练;使有纪律;处罚;使有条理;n.训练;纪律;学科;符合行为准则的行为（或举止）;,4
3795,spite,n.恶意;怨恨;恶事;vt.向…表示恶意;欺负;刁难;泄愤;,4
3796,map,n.地图，天体图;类似地图的事物;〈美俚〉脸，面孔;（染色体上基因排列的）遗传图;vt.绘制（一地区等的）地图;勘查;详细规划;[遗传学]比对;,4
3797,discussing,none,4
3798,dining,n.进餐;v.吃饭，进餐( dine的现在分词 );设宴款待，请客;,4
3799,eats,n.食物（不包括酒类），饭食;v.吃，喝，吃饭( eat的第三人称单数 );（食物）吃起来感到;咬;（人）感到苦恼（或烦恼）;,4
3800,loud,adj.响亮的，大声的，高声的;响亮的，洪亮的，高亢的;高声的，激烈的;刺眼的，太招摇的;adv.大声地，高声地，响亮地;,4
3801,loudly,adv.高声地;吵闹地;响亮地;花哨地;,4
3802,practicing,adj.开业的，在工作的;,4
3803,grey,adj.灰色的;灰白的;vt.使变成灰色;使变老;vi.变成灰色;老化;n.灰色;,4
3804,routine,n.常规;例行程序;生活乏味;（演出中的）一套动作;adj.例行的;常规的;日常的;普通的;,4
3805,bicycles,none,4
3806,racing,none,4
3807,block,n.块;街区;<英>大楼，大厦;障碍物，阻碍;vt.阻止;阻塞;限制;,4
3808,logical,adj.逻辑（上）的;符合逻辑的;推理正确的;合乎常理的;,4
3809,reasoning,n.推理，论证;运用思考、理解、推想等能力的做法或过程;论究，论断;v.推理，思考;争辩;说服;adj.推理的;有关推理的;,4
3810,radios,none,4
3811,promptly,adv.敏捷地;迅速地;立即地;毫不迟疑;,4
3812,crimes,n.罪，罪行，犯罪( crime的名词复数 );,4
3813,fights,none,4
3814,ward,n.病房，病室;监视，监督;保卫;[法]受监护人;vt.监护，守护;挡住，架住;避开;收容;,4
3815,runs,v.跑( run的第三人称单数 );移动;（使）流动;（工作等）进行;,4
3816,formally,adv.正式地;正规地;拘泥形式地;形式上;,4
3817,serves,none,4
3818,sheer,v.（使）偏航，（使）转向;adv.完全地，全然;垂直地，陡峭地;n.舷弧;单锚系泊的船位;偏离的方向;船体型线;adj.完全的，全然的;极薄的;几乎垂直地，陡峭的;绝对的;,4
3819,unemployed,adj.被解雇的;失业的;不在使用中的;未用的;n.失业者;,4
3820,suddenly,adv.意外地，忽然地;奄;勃;霍然;,4
3821,separate,vt.& vi.分开;（使）分离;区分;隔开;vt.分离（混合物）;分居;分类;割开;vi.分手;断裂;（夫妻）分居;断绝关系;,4
3822,odd,adj.古怪的;奇数的;剩余的;临时的;n.奇特的事物;怪人;[高尔夫球]多于对方的一次击球;,4
3823,attempts,none,4
3824,responses,n.反应( response的名词复数 );回答;（礼拜仪式中的）答唱咏;[基督教]（礼拜仪式中会众同牧师）轮流应答（或吟唱）的祈祷文;,4
3825,separately,adv.分别地，另行;分开，单独;分离地;个别地;,4
3826,inferred,none,4
3827,realizing,adj.明确无误的，清晰生动的;v.实现( realize的现在分词 );了解;（所担心的事）发生;以…价格卖出;,4
3828,pages,n.页( page的名词复数 );（计算机的）页面;历史篇章;<文>重要事件;,4
3829,connecting,n.连接，管接头，套管;v.连接( connect的现在分词 );把…看作有关联;由…联想到;给…接通电话;,4
3830,admits,none,4
3831,upset,vi.打翻，弄翻;打乱，打搅;vt.打乱，搅乱;推翻，弄翻;使心烦意乱;使翻倒;n.翻倒，颠覆;心烦意乱;混乱;adj.难过的;失望的;沮丧的;（肠胃）不舒服的;,4
3832,sends,v.送( send的第三人称单数 );使作出（某种反应）;派遣;使进入（某状态）;,4
3833,scope,n.（处理、研究事务的）范围;眼界，见识;（活动或能力的）余地;广袤，地域;v.审视，仔细研究;,4
3834,removing,n.消除，排除，除去;v.开除( remove的现在分词 );去除;脱去（衣服等）;移走;,4
3835,apologize,vi.道歉，认错;辩解，辩护;,4
3836,restore,vt.归还;交还;使恢复;修复;vt.& vi.恢复（某种情况或感受）;使复原;使复位;使复职;,4
3837,placed,none,4
3838,occur,vi.发生;出现;闪现;,4
3839,translated,none,4
3840,fee,n.（加入组织或做某事付的）费;专业服务费，业务报酬;小费，赏钱;[法] 继承的产业;vt.付给报酬，给小费;〈英〉雇用，聘请;,4
3841,tasty,adj.美味的，可口的;高雅的，有品味的;有趣的;n.可口的东西;引人入胜的东西;,4
3842,dish,n.盘;餐具;一盘食物;外貌有吸引力的人;vt.盛于碟盘中;分发;使某人的希望破灭;说（某人）的闲话;vi.成碟状;,4
3843,kayne,none,4
3844,slower,v.减慢;adj.慢的( slow的比较级 );迟钝的;慢速的;迟迟不…;,4
3845,biking,none,4
