,单词,翻译,出现次数
4080,slip,vi.滑，滑脱;犯过失，出错;（时间）不知不觉地过去;（健康状况等）变差;vt.使顺利滑动;摆脱;放松，松开;n.跌倒，失足;纸条;失误，口误;事故;adj.滑动的;可拆卸的;打有活结的;abbr.串行线路接口协议(Serial Line Interface Protocol);,4
4081,boom,vi.发出隆隆声;快速发展;暴涨;vt.以低沉而有回响的声音发出;使繁荣;使迅速发展;n.隆隆声;繁荣;激增;,4
4082,conclude,vt.& vi.结束，终止;推断;议定;vt.得出结论;缔结;推断出;决定;vi.终了;作出决定或达成协议;,4
4083,limiting,adj.限制的;,4
4084,bianchi,none,4
4085,inquiries,none,4
4086,suitable,adj.合适的，适当的，适宜的，恰当的;,4
4087,distinguished,adj.卓越的;著名的;受人尊敬的;显得重要的;v.辨别，区别( distinguish的过去式和过去分词);突出;区别(distinguish的过去式);,4
4088,inherently,adv.天性地，固有地;,4
4089,expression,n.表现，表示，表达;表情，脸色，态度，腔调，声调;[数]式，符号;词句，语句，措辞，说法;,4
4090,stimulates,none,4
4091,australia,n.[地名][大洋洲]澳大利亚，澳洲;澳元;,4
4092,gullotta,none,4
4093,delayed,adj.延时的，定时的;v.（使）耽搁，延误( delay的过去式和过去分词 );推迟;使延期;使延迟;,4
4094,fatal,adj.致命的，攸关的;毁灭性的，严重的;命中注定的;重大的;,4
4095,shopper,n.（商店的）顾客，买东西的人;,4
4096,salespeople,n.售货员，店员;售货员( salesperson的名词复数 );,4
4097,circle,n.圆;圆状物;一圈;圈子;vt.圈出，包围;绕…运转;vi.环绕，盘旋;,4
4098,shrink,vt.& vi.收缩，皱缩;（使）缩水;退缩，畏缩;n.收缩;畏缩;<俚>精神病学家;,4
4099,programmers,none,4
4100,detailed,adj.详细的，明细的;精细的;复杂的;详尽的;v.详细说明(detail的过去分词);,4
4101,magazine,n.弹药库;杂志;弹仓;胶卷盒;,4
4102,billboard,n.广告牌;告示牌;v.宣传;,4
4103,official,n.行政官员;公务员;[体]裁判;高级职员;adj.官方的，法定的;公职的，公务的;官气十足;正式的;,4
4104,id,none,4
4105,tourism,n.旅游，观光;旅游业;,4
4106,frustrations,n.挫折( frustration的名词复数 );失败;挫败;失意;,4
4107,hunting,n.打猎;搜索，追寻;[电]（同步电动机的）速度偏差;v.打猎(hunt的现在分词);,4
4108,emergence,n.出现，发生;暴露;[植]突出体，（柑果的）瓤胞;,4
4109,continent,n.大陆，陆地;欧洲大陆;<美>北美洲大陆;adj.自制的，克制的;节欲的;贞洁的;禁欲的;,4
4110,comforts,none,4
4111,stranger,n.陌生人，不认识的人;外地人;局外人;门外汉;adj.不熟悉的，陌生的(strange)的比较级;,4
4112,permission,n.允许;批准，正式认可，认可;,4
4113,glance,vi.一瞥;闪微光;掠过，擦过;随便提到，简略地触及;n.浏览;闪光;歪斜，一掠;,4
4114,naked,adj.裸体的，裸露的;率直的，赤裸裸的;缺乏保护;不加掩饰的;,4
4115,overwhelming,adj.势不可挡的，压倒一切的，巨大的;压倒一切的欢乐;,4
4116,criminals,n.罪犯，犯人( criminal的名词复数 );,4
4117,grasp,vt.抓住;了解;急忙抓住;急切（或贪婪）地抓住;n.控制;控制力;能力所及;vi.攫取（常与 at 连用）;急于接受;急切地寻求（常与 for 连用）;,4
4118,forces,n.力( force的名词复数 );武力;（社会）势力;气力;v.强制( force的第三人称单数 );强作;施强力于;促成早熟;,4
4119,internship,n.<美>实习医师，实习医师期;,4
4120,integrated,adj.完整的;整体的;结合的;（各组成部分）和谐的;v.使一体化( integrate的过去式和过去分词 );使整合;使完整;使结合成为整体;,4
4121,adjusted,adj.调整过的;v.（改变…以）适应，调整，校正( adjust的过去式和过去分词 );,4
4122,visa,n.签证;vt.签发签证;,4
4123,improvements,n.增加或修改( improvement的名词复数 );改进;改善;改良;,4
4124,welcoming,none,4
4125,twin,n.孪生儿之一，双胞胎之一;两个相像的人或物之一;孪晶;双人床;vt.尤用于英国)使结成姊妹城市;使（两人或两事物）紧密结合;使偶合;使相连;adj.成对的;成双的;双重的;双联的;,4
4126,ends,n.<正>结果( end的名词复数 );端;终止;最后部分;v.结束，终止( end的第三人称单数 );,4
4127,instructor,n.指导者，教师;,4
4128,katharine,none,4
4129,exerted,adj.外露的;v.用（力）( exert的过去式和过去分词 );尽（力）;运用;发挥;,4
4130,colombia,n.哥伦比亚（南美洲西北部的一个国家，首都为波哥大Bogota）;,4
4131,dropout,n.辍学者，退学者;<贬>拒绝传统社会的人;流失生;流生;,4
4132,weaknesses,n.虚弱( weakness的名词复数 );软弱;弱点;偏好;,4
4133,cornell,none,4
4134,hopes,n.& v.希望;n.希望( hope的名词复数 );希望的东西;被寄予希望的人（或事物、情况）;抱有希望的理由;v.希望，期望( hope的第三人称单数 );[俚语]相信，认为;希望，盼望，期待;,4
4135,guiding,none,4
4136,distractions,none,4
4137,pains,n.麻烦，辛苦;痛苦( pain的名词复数 );劳苦;令人厌烦的人[事物];身体某部分的疼痛[不适];,4
4138,divided,adj.分离的，被分割的，分裂的;v.分( divide的过去式和过去分词 );划分;分离;（使）产生分歧;,4
4139,motivated,adj.有动机的，有目的的;有积极性的;v.作为…的动机，激发，诱发( motivate的过去式和过去分词 );,4
4140,updated,adj.最新的;现代化的;适时的;校正的;v.更新，使现代化( update的过去式和过去分词 );向…提供最新信息;,4
4141,maclnnis,none,4
4142,app,n.计算机应用程序;abbr.应用(Application);穿甲试验(Armor Piercing Proof);计算机应用程序;,4
4143,chapters,none,4
4144,margins,n.边( margin的名词复数 );利润;页边空白;差数;,4
4145,talents,n.天资( talent的名词复数 );天才;人才;（统称）性感的人;,4
4146,michigan,none,4
4147,fulfill,vt.履行（诺言等）;执行（命令等）;达到（目的）;使结束;,4
4148,mysteries,n.谜（ mystery的复数）;神秘的事物;推理小说;,4
4149,twilight,n.黎明，黄昏，暮光;暮年，晚期，晚年;衰退期，没落时期;<电影>暮光之城;,4
4150,headlines,none,4
4151,tension,n.紧张，不安;紧张气氛;[物]张力，拉力;矛盾;vt.紧张;使紧张;,4
4152,handed,adj.有手的;,4
4153,cues,none,4
4154,prohibiting,none,4
4155,deals,none,4
4156,policymakers,none,4
4157,jams,n.短裤睡衣，宽短裤;拥挤( jam的名词复数 );果酱;<篮球>灌篮;困难的处境;v.（使）塞紧( jam的第三人称单数 );发生故障;夹住;（使）卡住;,4
4158,legal,adj.法律的;合法的;法定的;法律（上）的;n.法定权利;依法必须登报的声明;,4
4159,attribute,vt.认为…是;把…归于;把…品质归于某人;认为某事[物]属于某人[物];,4
4160,complacency,n.自满，满足;自鸣得意;,4
4161,shelf,n.架子，搁板;棚;沙洲，暗礁;格，层;,4
4162,execute,none,4
4163,switching,n.开关;转换;交换;配电;v.转变，改变( switch的现在分词 );转换;挥动（棍棒、鞭子等）;迅速转动;,4
4164,rooted,none,4
4165,naps,none,4
4166,suffering,n.受苦，遭难;苦楚，苦难;令人痛苦的事;v.受苦(suffer的现在分词);蒙受;adj.受苦的;患病的;,4
4167,couch,n.长沙发椅，睡椅;（病人受检查时躺的）长榻;麦芽床;涂底，涂层;vt.表达;使躺卧;播撒谷物使发芽;vi.躺卧;隐蔽，埋伏;使成堆;,4
4168,cafeteria,n.食堂;自助餐厅;,4
4169,approved,adj.经核准的，被认可的;v.赞成，同意( approve的过去式和过去分词 );批准;认可;核准;,4
4170,fruit,n.成果;水果;果实;（大地的）产物;vi.树或花草结果;vt.使…结果实;,4
4171,vitamins,n.维生素（ vitamin的名词复数 ）;,4
4172,nutritional,adj.营养的;滋养的;营养品的;,4
4173,pamela,none,4
4174,margin,n.边缘，范围;极限;利润，盈余;（版心外）的空白;vt.留边;成为…的边;加边于，围绕;为…加旁注;,4
4175,institute,vt.建立;制定;开始;着手;n.协会;学会;学院;（教育、专业等）机构;,4
4176,ignoring,none,4
4177,downturn,n.（价格或活动）开始下降;衰退，低迷时期;,4
4178,fortunes,none,4
4179,programme,n.（演出或活动的）程序;计划;节目;课程;vt.计划;训练;培养;预调;vi.编程序;制作节目;,4
4180,letters,n.<正>文学（作品）;信( letter的名词复数 );函件;字母;（缝制在运动服上的）校运动队字母标志（美式英语）;,4
4181,pair,n.一副;一对男女;套在一起的两匹马;雌雄成对的动物;vt.& vi.（使…）成对，（使…）成双;vi.交配，交尾;,4
4182,darwin,none,4
4183,observation,n.观察;观察力;评论;观察所得;,4
4184,ownership,n.物主身份;所有权;所有制;所有;,4
4185,bosses,none,4
4186,las,none,4
4187,vegas,none,4
4188,accumulated,adj.[医]蓄积的，累积的;v.堆积，积累( accumulate的过去式和过去分词 );（数量）逐渐增加，（质量）渐渐提高;,4
4189,gold,n.金，黄金;金色;金币;金饰品;adj.金（制）的，含金的;金色的;金本位的;,4
4190,disruptive,adj.分裂性的;破坏的;扰乱的;,4
4191,rethink,vt.& vi.重新考虑或再想;n.重新考虑，反思，新想法;,4
4192,comparatively,adv.对比地;相对地;比较地;有点;,4
4193,combination,n.结合;联合体;密码组合;连裤内衣;,4
4194,graduated,adj.毕业了的;标有刻度的;分等级的;分层次的;v.渐变( graduate的过去式和过去分词 );渐渐变为（与into连用）;渐渐消逝（与away连用）;取得资格（与as连用）;,4
4195,documented,none,4
4196,romance,n.浪漫史;爱情小说;恋爱;传奇色彩;vt.& vi.虚构;渲染;谈情说爱;追求某人;,4
4197,payments,n.支付，付款，缴纳，报酬( payment的名词复数 );付出的[要付出的]款项;报答，报偿;,4
4198,components,n.（机器、设备等的）构成要素，零件，成分;成分( component的名词复数 );[物理化学]组分;[数学]分量;（混合物的）组成部分;adj.组成的，构成的;,4
4199,poorer,none,4
4200,puzzling,adj.使为难的，费解的，令人困惑的;v.使迷惑，使难解( puzzle的现在分词 );为难，伤脑筋，苦思;,4
4201,specialized,adj.专门的;专业的;专用的;v.专攻(specialize的过去式和过去分词);,4
4202,respected,v.尊重（ respect的过去式和过去分词 ）;尊敬;关心;慎重对待;adj.受尊敬的;受敬重的;受重视的;,4
4203,questioning,none,4
4204,heckman,none,4
4205,crude,adj.粗糙的，粗杂的;粗鲁的;天然的，未加工的;简陋的;n.原[生]材料，天然物质;原油;,4
4206,valued,adj.经估价的;宝贵的，受到尊重的;v.估价( value的过去式和过去分词 );重视;给…定价;评价;,4
4207,unlike,prep.（表示属性）与…不同;不像;adj.不同的;相异的;不相似的;,4
4208,accumulating,v.堆积，积累( accumulate的现在分词 );（数量）逐渐增加，（质量）渐渐提高;,4
4209,dunn,none,4
4210,knot,n.结，绳结，结节，（装饰用的）花结，蝴蝶结;[航]节(=浬/小时)，浬，海里;（树木或木材上的）节疤，（人或动物身上的）硬块，节，瘤;难事，难题，麻烦事，（问题的）要点，（戏剧，小说的）情节的征结;vt.& vi.把…打结，把…连结，捆扎，包扎;使密切结合;使纠结;皱（眉）;,4
4211,interactions,n.一起活动( interaction的名词复数 );合作;互相影响;互动;,4
4212,quebec,n.魁北克;通讯中用来代表q的字;,4
4213,closing,adj.结尾的;结束的;n.终结;结尾辞;v.close（关闭）的现在分词形式;,4
4214,panic,n.恐慌，惊慌;（金融方面）大恐慌;成功;〈俚〉非常滑稽的人;vt.使恐慌;vi.十分惊慌;adj.恐慌的，惊慌失措的;,4
4215,startup,n.启动;新兴公司（尤指新兴网络公司）;新兴公司，新开张的企业;,4
4216,beall,none,4
4217,miami,n.迈阿密（美国佛罗里州达东南部港市）;,4
4218,accompany,vt.陪伴，陪同;附加，补充;与…共存;为…伴奏;vi.伴奏;,4
4219,renters,none,4
4220,nights,adv.夜间;n.夜( night的名词复数 );晚上;（举行盛事的）夜晚;…之夜;,4
4221,brunstrom,none,4
4222,occasions,none,4
4223,coastal,adj.临海的，沿海的;海岸的;沿岸;,4
4224,habitable,adj.适于居住的;,4
4225,string,n.绳子，带子;线丝，植物纤维;串;[计算机科学]字符串;vt.上弦，调弦;使排成一行或一系列;绑，系或用线挂起;延伸或扩展;,4
4226,kindle,vt.& vi.点燃，照耀;煽动，鼓舞;着火;发亮;n.电子书阅读器;,4
4227,format,n.（出版物的）版式;[自]（数据安排的）形式;电视节目的总安排（或计划）;vt.使格式化;安排…的格局;设计…的版面;vi.设计一个版式;,4
4228,ink,n.墨水，油墨;（乌贼分泌的）墨液;vt.给…上油墨（以供印刷、签订合同等）;签名（在…上）;涂油墨;,4
4229,hardback,n.精装书，精装本;硬封面的书;adj.精装的;硬封面的;,4
4230,moveable,n.可移动的东西;adj.可移动的，活动的;,4
4231,clues,none,4
4232,replaces,none,4
4233,handwritten,adj.手写的;用笔写的;v.用手写(handwrite的过去分词);,4
4234,bible,n.圣经;有权威的书;,4
4235,handwriting,n.书法，手书;笔迹，字迹;v.亲手写(handwrite的ing形式);,4
4236,migrated,none,4
4237,symbolic,adj.象征的，象征性的;,4
4238,empire,n.帝国，帝国领土;帝权，君权，最高统治权;大企业组织;adj.新古典风格的;,4
4239,backup,n.支持，后援;阻塞;<计>备份文件;[乐]伴奏;adj.备用的，后补的;支持性的;伴奏的;,4
4240,steamships,none,4
4241,sail,vi.航行;起航;驾驶帆船;vt.航行;开船;（水禽）游泳;驾驶（船）;n.帆船;航行;帆状物;航行距离;,4
4242,fireplaces,none,4
4243,professions,n.职业( profession的名词复数 );（需要专门技能，尤指需要较高教育水平的某一）行业;同业;（某）职业界;,4
4244,kicking,none,4
4245,destruction,n.破坏，毁灭，消灭，灭亡，扑灭，驱除;摧毁;毁灭的原因，破坏手段;杀害;,4
4246,intact,adj.完整无缺的，未经触动的，未受损伤的;原封不动的;完好无缺;完好无损;,4
4247,inequality,n.不平等，不均等;[数]不等式;变动，变化;不相同;,4
4248,sadness,n.悲哀，忧伤，忧愁，悲哀;令人悲哀或忧伤的事物;愁眉苦脸，心境恶劣，心情恶劣;认真;,4
4249,peter,vi.渐渐枯竭[消失];逐渐减少;逐渐减弱;慢慢消失;vt.使…精疲力竭;n.麻醉品;保险箱;,4
4250,performing,adj.表演的，履行的;v.执行( perform的现在分词 );履行;表演;扮演;,4
4251,cupboard,n.橱柜;衣柜;食物柜;壁橱;,4
4252,dust,n.灰尘;（建筑物内、家具或地板等上的）灰尘;遗骸，尸体，人体，人;〈口〉金粉，粉末，粉剂，花粉;vt.& vi.拂（一拂），掸（一掸）;vt.撒（粉）于;擦去…的灰尘;擦灰;撢去;,4
4253,cupped,adj.凹陷的，杯形的;,4
4254,greeted,v.欢迎( greet的过去式和过去分词 );迎接;致意;（以某种方式）对…作出反应;,4
4255,reserved,adj.预订的;矜持的;储藏着的;v.保留[储备]某物( reserve的过去式);,4
4256,billions,n.十亿（billion的复数形式）;,4
4257,personalities,n.（对某人容貌、性格等所进行的）人身攻击;人身攻击( personality的名词复数 );人格;名人;特色;,4
4258,classmate,n.（同班）同学;级友;,4
4259,youshould,none,4
4260,onlyonce,none,4
4261,pays,none,4
4262,withten,none,4
4263,bankfollowing,none,4
4264,eachchoice,none,4
4265,bankmore,none,4
4266,aperson,none,4
4267,italian,n.意大利人;意大利语;意大利国民;adj.意大利的;意大利人的;意大利语的;意大利文化的;,4
4268,irish,adj.爱尔兰的，爱尔（人[语，文化…）的;n.爱尔兰人;爱尔兰语;,4
4269,hampshire,n.汉普郡（英国南部之一郡）;,4
4270,unions,none,4
4271,ofthe,none,4
4272,rhythms,none,4
4273,mama,n.妈妈（口语）;,4
4274,insisted,none,4
4275,preferred,adj.首选的;v.提出（请求、控诉等）( prefer的过去式和过去分词 );提升;建议;选择某事物（而不选择他事物）;,4
4276,somebody,pron.某人，有人;n.大人物，重要的人物;,4
4277,cellphone,n.蜂窝式便携无线电话，大哥大;手机;,4
4278,tasking,n.任务分配;,4
4279,intoenglish,none,4
4280,sharp,adj.敏锐的;锋利的;狡猾的，聪明的;尖锐的;adv.猛烈地;尖锐地;尖利地;偏高地;n.升半音;尖头;骗子;内行，专家;vt.[音乐]把（音调）升高（半音）;vi.[音乐]升音演奏（或演唱）;,4
4281,attributed,none,4
4282,fault,n.缺点，缺陷;过错，责任;[电]故障;（猎狗的）失去嗅迹;vt.挑剔，找…的缺点;批评;做错，在…中出错;[地质学]产生断层;vi.找错误，挑剔;[地质学]变动从而产生断层;,4
4283,abuse,n.滥用;恶习;侮辱;恶言;vt.滥用;虐待;辱骂;,4
4284,crooks,none,4
4285,unhealthy,adj.不健康的;对健康有害的;危险的;反常的;,4
4286,linethrough,none,4
4287,forests,none,4
4288,announcing,v.宣布，宣告，发表( announce的现在分词 );（尤指通过广播）通知;通报…到达;声称;,4
4289,thecorresponding,none,4
4290,toys,n.玩具，玩物( toy的名词复数 );,4
4291,asingle,none,4
4292,sunburn,n.晒伤，晒太阳过量而引起皮肤灼痛;,4
4293,abandoned,adj.被放弃的，被遗弃的;热情洋溢的;寡廉鲜耻的，恣意放荡的;没有约束的;,4
4294,critic,n.批评家;评论员;批评者;挑剔的人;,4
4295,scoring,n.得分;擦痕;,4
4296,hewlett,none,4
4297,agriculture,n.农业;农耕;农业生产;农学;,4
4298,courier,n.旅游团的服务员;导游;（传递信息或重要文件的）信使;通讯员;,4
4299,comets,none,4
4300,orbit,n.轨道;势力范围;眼眶;（人生的）旅程，生活过程;vt.& vi.在…轨道上运行，环绕轨道运行;vi.盘旋;绕轨道运行;vt.绕轨道而行;进入轨道;,4
4301,tail,n.尾;尾部;燕尾服;尾随者;vt.跟踪;装上尾巴;vi.队伍单行行进时拉长或产生间隔;侦察队两两散开;[建筑学] 嵌上，搭上;,4
4302,hale,adj.（尤指老人）精神矍铄的，老当益壮的;vt.迫使;猛拉;vi.不断流出;,4
4303,bopp,n.双向拉伸聚丙烯;波普，弗朗兹((1791-1867) 德国哲学家，他的<比较语法> (1833-1852年)举例说明了印欧语系各语言间的相同点 );,4
4304,el,none,4
4305,startups,none,4
4306,pittsburgh,n.匹兹堡（美国宾西法尼亚州西南部城市，是美国的钢铁工业中心）;,4
4307,opponents,n.对手，敌手( opponent的名词复数 );反对者;,4
4308,doer,n.行为者，实干家;,4
4309,outgoing,adj.对人友好的，开朗的;出发的，外出的;即将离职的;乐于助人的;,4
4310,irrigation,n.灌溉;水利;[医]冲洗;冲注洗剂;,4
4311,wuzhen,none,4
4312,philosophers,n.哲学家( philosopher的名词复数 );豁达的人;,4
4313,deed,n.行为;行动;<律>契约;证书;v.立契转让;,4
4314,kibara,none,4
4315,laptop,n.便携式电脑;,3
4316,functional,adj.功能的;[数]函数的;有多种用途的;机能性;,3
4317,method,n.方法;条理;,3
4318,bitter,adj.苦的;尖锐的;严寒的;怀恨的，愤愤不平的;n.苦;苦味物;苦啤酒;[航]系缆柱上的一圈缆索;adv.激烈地;痛苦地;严厉地;vt.使变苦;,3
4319,ninth,n.第九;九分之一;adj.第九的;九分之一的;,3
4320,digging,n.挖掘;v.挖，掘( dig的现在分词 );（如用铲、锨或推土机等）挖掘;挖得;寻找;,3
4321,shapes,none,3
4322,academy,n.专科学校;学会，学院;一般的高等教育;私立学校，学术团体;,3
4323,examined,v.仔细检查( examine的过去式和过去分词 );考试;审查;,3
4324,barley,n.大麦;大麦粒;麦子;,3
4325,blocks,n.赛跑者起跑时脚底所撑的木块;阻挡( block的名词复数 );（吗啡）块（一立方吗啡的量度，每盎司吗啡约有125块）;（印度的行政单位）区;[美国英语] 街区(4条街道当中的区域);v.堵塞( block的第三人称单数 );阻碍;设计（电视录像的摄像镜头布局）;[球类]（合法）阻挡（对手）;,3
4326,organisations,none,3
4327,affairs,none,3
4328,reporting,n.报告;adj.报告的;,3
4329,replacing,v.取代( replace的现在分词 );更换;把…放回原位;（用…）替换;,3
4330,rigid,adj.严格的;僵硬的;（规则、方法等）死板的;刚硬的，顽固的;,3
4331,cleveland,none,3
4332,hindered,none,3
4333,independently,adv.独立地，自立地，无关地;,3
4334,aviation,n.航空;飞行术，航空学;飞机制造业;[集合词]飞机;,3
4335,crew,n.全体船员;全体乘务员;一群，一帮;vt.当（尤指船上的）工作人员;当（尤指船上的）工作人员;vi.当船员;当机务人员;,3
4336,concluded,none,3
4337,inclusive,adj.包括的，包罗广泛的;包括…的;一切开支包括在内的;（语言使用上）不分男女的;,3
4338,maker,n.制造者，制造商;[法] 签署本票的一方;上帝;〈古〉诗人;,3
4339,liberating,none,3
4340,contacted,none,3
4341,wonders,n.惊奇( wonder的名词复数 );奇观;奇人;,3
4342,imitate,vt.模仿，效仿;仿造，伪造;,3
4343,transit,n.通过;搬运;转变;运输线;vt.通过;横越;运送;使（望远镜）水平横轴回转;vi.通过，经过;,3
4344,segment,n.部分，段落;环节;[计算机]（字符等的）分段;[动物学]节片;vt.&vi.分割，划分;[生]使分裂;,3
4345,impacts,none,3
4346,seventy,n.七十;从七十到七十九的数目、年数或温度;,3
4347,outcome,n.结果;成果;出路;,3
4348,relies,none,3
4349,sprawl,vi.伸开四肢坐[躺];蔓延;杂乱无序地拓展;n.（城市）杂乱无序拓展的地区;随意扩展;蔓延;蔓延物;,3
4350,uncertain,adj.不确定的;不稳定的;不明确的;无常的;,3
4351,endless,adj.无尽的，无边的;没完没了的;永久的;环形的，无端的;,3
4352,pushed,none,3
4353,behavioural,adj.动作的;,3
4354,associations,none,3
4355,desired,adj.渴望的，想得到的;v.希望( desire的过去式和过去分词 );渴望;要求;请求;,3
4356,irrelevant,adj.不相干的;不恰当;缺乏时代性的，落后于潮流的;牛头不对马嘴;,3
4357,recalled,none,3
4358,accelerated,adj.加速的;v.（使）加快， （使）增速( accelerate的过去式和过去分词 );促使…早日发生，促进;[教育学]使（学生）跳级;提早学完（课程等）;,3
4359,processes,none,3
