,,单词,翻译,出现次数
,77,better,adj.较好的;更合适的;能力更强的;好转的;adv.更好地;更妥;更;v.胜过;上进;n.更好者;更有才智者;,161
,78,study,n.学习，研究;课题;书房;结论;vi.考虑;沉思;默想;努力;vt.想出;详细地检查;背诵（台词等）;为…费心思;,157
,79,education,n.教育;教育学;培养;训练;,157
1,80,following,adj.后面的，其次的;下列的;顺风的;n.崇拜者，拥护者;下列，如下;跟随;随球;prep.随后，在…以后;v.跟随，接着(follow的现在分词);,155
,81,before,prep.在…之前;先于，优于;当着…的面;与其…;conj.在…之前;在…以前;比…早些;与其…;adv.先前，从前;在前，在前方;,155
1,82,corresponding,adj.相当的，对应的;通信的;符合的，符合。。;一致的;v.相符合( correspond的现在分词);类似(correspond的ing形式);相配;,154
,83,think,vt.想;思索;以为;看待;vi.思辩;考虑;构想;回忆;adj.深思的;供思考的;n.想;想法;,154
1,84,don,n.大学教师，（牛津、剑桥大学的）导师，特别研究员;vt.穿上，披上;,153
,85,learn,vt.& vi.学习，学会;习得;得知;记住;vt.记住;学习;得知;认识到;vi.学习;获知;,152
,86,author,n.著作家;作者;创造者;发起人;vt.创作出版;,152
,87,says,v.说，讲(say的第三人称单数);,151
,88,go,vi.走;离开;去做;进行;vt.变得;发出…声音;成为;处于…状态;n.轮到的顺序;精力;干劲;尝试;,150
,89,single,adj.单一的;（打斗、比赛等）一对一的;惟一的;适于一人的;n.单程票;（旅馆等的）单人房间;[复数]（高尔夫球一对一的）二人对抗赛;[常用复数][美国、加拿大英语]未婚（或单身）男子（或女子）;vt.挑选;vi.作一垒手;,149
,90,business,n.商业，交易;生意;事务，业务;职业，行业;,149
,91,mark,n.斑点;记号;成绩;标准;vt.作记号;表示;给…打分;在…留下痕迹;vi.评分;注意;（比赛中）记分;,148
,92,write,vt.& vi.写;写信;写作;作曲;,146
,93,own,n.自己的事物;自己人;vt.拥有;承认;vi.承认;adj.自己的;特有的;,145
,94,see,vt.& vi.看见;领会，理解;查看;参观;n.主教教区;主教权限;牧座;,144
,95,less,adj.较少的（little的比较级）;较小的;较次的，较劣的;较不重要的;adv.较少地，较小地;prep.减去;少掉;不足;n.较少，较小;,143
,96,money,n.钱;财富;薪水;款项;,142
,97,high,adj.高的;高尚的，崇高的;高音调的;高级的，高等的;adv.（程度等）高地;高价地;奢侈地;n.高处，高位;[气象学]高气压;高压地带;高水平;,140
1,98,marked,adj.显著的，著名的;有记号的;加印记的;受监视的;v.表示(mark的过去分词);作记号;给…打分;在…留下痕迹;,139
,99,where,adv.哪里，在哪里;到哪里;某种情势或位置;conj.在…的地方;n.地方，场所;pron.哪里;,139
,100,reading,n.阅读;宣读;读物;读数;v.读( read的现在分词);看懂;理解;显示，标明;,136
,101,find,v.发现;找到;查明;发觉;n.发现物;被发现的人;,136
,102,day,n.一天;白天;时期;节日;adj.日间的;逐日的;adv.每天;经常在白天地;,135
,103,given,adj.指定的，确定的;假设的，假定的;有…倾向的;赠送的;prep.（表示原因）考虑到;（表示假设）倘若，假定;n.假设;v.给予，赠送( give的过去分词);,134
,104,university,n.综合性大学;大学人员;大学校舍;,132
1,105,writing,n.文字;写作;文章;笔迹;v.写（ write的现在分词）;写信;,131
,106,being,n.存在;生物;人;要素，本质;,129
,107,home,n.家;家庭;家庭生活;终点;adj.家庭的;家用的;本地的;本部的;adv.在家;在家乡;深深地;深入地;vi.回家;有家;朝向;自动导航;vt.把…送回家;送…回家;给…提供住处;使有安身之处;,129
,108,college,n.大学;（英国）学院;学会;（尤指必须交费的）中学;,128
,109,still,adv.仍，仍然;更，还要;静静地;〈诗〉常，不断地;adj.不动的，静止的;不狂暴的，温柔的;没有活力的，死气沉沉的;n.平静，寂静;剧照;静止摄影;蒸馏器;vt.& vi.（使某物）平静下来，安静;〈古〉烧（酒），蒸馏;conj.但是;然而;,128
,110,different,adj.不同的;各式各样的;个别的;不平常;,128
,111,often,adv.常常;经常;时常;再三;,128
1,112,re,prep.关于;n.[化]元素铼（rhenium）的符号，铼;,127
1,113,centre,n.中心;（市镇的）中心区;中心点;中枢;vt.& vi.置于中央;集中;把…当作中心;（使）成为中心;,126
,114,know,v.知道;了解;认识;确信;n.知情;,126
,115,old,adj.老的;古老的;以前的;（用于指称被替代的东西）原来的;n.古时;,124
,116,did,v.做( do的过去式);干;学习;研究;,124
,117,while,conj.在…期间;与…同时;虽然;而;n.（一段）时间;vt.消磨，打发（时间）;（愉快而懒散地）度过（时间）（常与 away 连用）;,123
,118,choose,vt.挑选;认为…比其它更可取;决定或选定;vi.选择;进行挑选;,123
,119,used,adj.用过的;习惯于;二手的;旧的;v.使用（ use的过去式和过去分词）;常常，经常;,122
,120,down,adv.（坐、倒、躺）下;向下;（表示范围或顺序的限度）下至;prep.（从高处）向下;（表示位置）在…的下方;（表示方向）沿着…向下;（表示时间）自…以来;adj.向下的;沮丧的;计算机或计算机系统停机;（以…）落后于对手的;n.（鸟的）绒羽;绒毛;软毛;汗毛;vt.放下;（尤指大口或快速地）喝下;使摔倒;击落（敌机等）;vi.[常用于祈使句中]下去;下来;卧倒;下降;,116
1,121,lot,n.份额;许多;命运;阄;adv.（与形容词和副词连用）很，非常;（与动词连用）非常;pron.大量，许多;vt.分组，把…划分（常与out连用）;把（土地）划分成块;vi.抽签，拈阄;,116
,122,want,v.想要;希望;打算;需要…在场;n.需要的东西;缺少;贫穷;,115
,123,schools,n.学校( school的名词复数 );（大学里的）学院;学派;上学;,115
1,124,making,n.制造;产生的过程;成功改进的手段;原料，材料;v.“make”的现在分词;,114
,125,report,n.报告;成绩报告单;传闻;流言蜚语;vt.& vi.报道;公布;宣告;vt.告发，举报;使报到;,114
,126,end,n.<正>结果;端;终止;最后部分;vt.& vi.结束，终止;,114
,127,family,n.家庭;家族;孩子;祖先;adj.家庭的;一家所有的;属于家庭的;适合全家人的;,114
,128,important,adj.重要的;权威的;有势力的;有地位的;,113
,129,give,vt.& vi.给予;赠送;作出;vt.供给;产生;举办;（为购买某物或做某事而）支付;vi.（物体）塌下;让步;n.伸展性，弹性;,112
1,130,pay,vt.& vi.付款;偿还;补偿;（对…）有利;vt.给予;支付;n.工资;薪水;报答;adj.收费的;需付费的;,112
,131,become,vi.变为，成为;变得;变成;vt.适合，适宜;相称，相当;变成;发生;,111
,132,number,n.数字;数量;号码;编号;v.标号;总计;把…算作;,110
,133,last,n.末尾;最后;上个;鞋楦（做鞋的模型）;vt.经受住;到…之后;够用;足够维持（尤指某段时间）;adj.最近的;最后的;最不可能的;惟一剩下的;vi.持续;adv.上一次，最近一次;最后;,108
,134,likely,adj.可能的;适合的;有希望的;adv.可能;或许;大概;多半;,107
,135,made,adj.…制的;（人工）做成的，拼成的;虚构的;保证成功的;v.使(make的过去式和过去分词);,106
,136,short,adj.短的，短暂的;矮的;短缺的;短期的;adv.突然;唐突地;简短地;横贯地;n.短裤;短路;缺乏;vt.故意少给…的零头，骗取;vi.短路;,106
,137,might,aux.表示可能;表示许可;表示询问情况;n.力气;力量;威力;权力;v.可以;应该;,106
,138,bank,n.银行;（条形的）堆;（河的）岸;库存;vt.& vi.堆积;筑（堤）;将（钱）存入银行;vi.（转弯时）倾斜飞行;（在某银行）开账户，存款;vt.（用煤等）封炉火;,105
,139,internet,none,103
,140,things,n.（个人的）用品;需要的东西;生物;事实;物（ thing的名词复数 ）;,103
,141,found,vt.创办，成立，建立;v.发现（ find的过去式）;找到;到达;发觉;,102
,142,right,adv.立刻，马上;向右，右边;恰当地;一直;adj.右方的;正确的;合适的;好的，正常的;n.正确，正当;右边;权利;右手;vt.纠正;扶直，使正;整理;补偿;vi.（船舶等）复正，恢复平稳;,102
,143,around,adv.大约;旋转;到处，四处;在周围;prep.围绕;在附近;前后，左右;在…周围;,101
1,144,comprehension,n.理解，理解力;包含的能力;[逻辑学]内涵;,100
,145,same,adj.同一的;相同的，同样的;pron.同一事物;同样的人;（和…）同样的事物;（数目、颜色、大小、质量等）相同;adv.同样，类似;,99
1,146,something,pron.某物，某事;重要的事物[人]，有一定意义的事物;n.（表示不确切的描述或数量）大致，左右;adv.非常;有点;大约;,99
,147,blanks,none,97
1,148,going,n.出行，离去;出发;行为;工作情况;adj.活着的，现在的;进行中的，营业中的;现行的;流行中的;v.进行(go的现在分词);,97
,149,book,n.书;卷;课本;账簿;vt.& vi.预订;vt.登记;（向旅馆、饭店、戏院等）预约;立案（控告某人）;订立演出契约;adj.书的;账簿上的;得之（或来自）书本的;按照（或依据）书本的;,97
,150,jobs,n.（一件）工作( job的名词复数 );职责;职业;（作为一个单元处理的）作业;,97
,151,according,adv.依照;v.给予( accord的现在分词 );使和谐一致;使符合;使适合;,96
,152,research,n.研究，追究;探讨，探测;调查;探索;vi.做研究;探究;（从市场调研中）得出所预测的结果;vt.从事…的研究，为…而做研究;,96
,153,keep,vt.保持;保留;遵守;阻止;vi.（食品）保持新;保持健康;n.保持，保养;供养，抚养;生活，生计;饲料；牧草;,96
1,154,economic,adj.经济的;经济学的;合算的;有经济效益的;,96
,155,company,n.公司，商号;作伴，伴侣，客人;连队，中队;（社交）集会，聚会;,96
,156,look,vt.& vi.看，瞧;vi.注意;面向;寻找;看起来好像;n.看;（尤指吸引人的）相貌;眼神;样子;int.（插话或唤起注意）喂，听我说;,95
,157,technology,n.科技（总称）;工业技术;工艺学;[总称]术语;,94
,158,parents,n.双亲（ parent的名词复数 ）;,94
,159,health,n.健康状况;卫生;保健;昌盛，兴旺;,93
,160,come,vi.来;开始;出现;发生;vt.做;装扮…的样子;将满（…岁）;int.嗨！;,93
,161,change,vt.改变，变更;交换，替换;兑换;换衣服（床单）;vi.改变，转变;交换，互换;换衣，更衣;n.变化，改变;交换，交替;零钱，找头;代替物;,93
,162,second,n.秒;瞬间;次货;第二份食物;adj.第二的;次要的;居第二位的;另外的;adv.第二;其次;以第二位;vt.支持;临时调派;附议;赞成提案;,92
,163,women,n.女人(woman的复数);堂客;红粉;,92
1,164,whether,pron.其中的哪一个;n.可能的选择;,91
,165,english,n.英语;adj.英格兰的;英国的;英语的;英格兰人的;,91
,166,required,adj.必须的，<美>（学科）必修的;v.要求( require的过去式和过去分词 );需要;想要;命令;,90
,167,during,prep.在…的时候;在…期间，当…之时;其间;,90
,168,child,n.小孩，孩子;幼稚的人;产物;弟子;,90
,169,online,adj.在线的;联网的;联机的;,89
,170,working,adj.（涉及）工作的;（人）有工作的;（时间）用于工作上的;（想法等）可作为基础的;v.（使）工作( work的现在分词);（使）运作;运转;（使）产生效果;n.工作;活动;制作;操纵;,89
,171,off,prep.从…落下;离开;从…去掉;下班;adv.离开;距，离;被取消;下班;adj.不新鲜的;不能接受;不礼貌;n.起跑;v.杀死;,89
,172,between,prep.在…之间;私下，暗中;在…中任择其一;来往于…之间;adv.当中，中间;,89
1,173,energy,n.[物]能量;活力;精力;精神;,89
,174,others,none,88
,175,however,adv.不管到什么程度;无论如何;然而;可是;conj.不管怎样;,87
,176,least,adj.最小的;最少的（ little的最高级）;最不重要的，地位最低的;adv.最少，最小;n.最小;最少量;,86
,177,big,adj.大的;重要的;（计划）庞大的;大方的;adv.大量地;成功地;夸大地;宽宏大量地;n.大亨;大公司;,86
,178,carefully,adv.小心谨慎地;警惕地;仔细地;周密地;,86
,179,course,n.课程;航线;行动方向;一道菜;vt.快速地流动;奔流;跑过;追逐;vi.沿…（方向）前进;指引航线;快跑;迅速移动;,86
,180,social,adj.社会的，社会上的;交际的，社交的;群居的;合群的;n.联谊会，联欢会;社交聚会;,86
,181,place,n.位;地方;职位;座位;vt.放置;获名次;投资;评价;vi.得名次;名列前茅;[美国英语][赛马]得第二名;准确把…推到预定地点;,86
,182,paper,n.纸;文件;论文;文章;vt.& vi.贴纸;vt.包装，用纸覆盖;贴壁纸;提供纸张;[俚语] 提供免费入场券;vi.贴糊墙纸;发交通违章传票;adj.纸制的;似纸的;有名无实的;,86
1,183,higher,none,85
,184,computer,n.（电子）计算机，电脑;,84
,185,public,adj.公众的，公共的;公开的;政府的;人人知道的，知名的;n.大众;社会;公共场所;（文学家等的）爱读者;,84
,186,countries,n.国家( country的名词复数 );国土;郊外;地区;,83
,187,care,v.关心;担心;照顾;喜爱;n.照顾;小心;忧虑;,83
,188,experience,n.经验，体验;经历，阅历;vt.亲身参与，亲身经历;感受;发现;,83
,189,word,n.单词;话语;诺言;消息;vt.措辞，用词;用言语表达;vi.讲话;,82
,190,hard,adj.困难的;硬的;有力的;努力的;adv.努力地;猛力地;严重地;沉重地;n.英〉硬海滩，登陆处;,82
,191,government,n.政府;政体;治理的形式;管辖，治理;,82
,192,since,prep.从…以来;自从…之后;自从;adv.以后，此后;后来;（距今几年）以前;（从那时候起几年）以前;conj.自从…以来;自从…的时候起;既然;因为;,82
,193,books,n.书( book的名词复数 );卷;课本;账簿;v.预订( book的第三人称单数 );登记;（向旅馆、饭店、戏院等）预约;立案（控告某人）;,82
,194,quality,n.质量，品质;美质，优点;才能，能力，技能，素养;品种;adj.优质的，高质量的;上流社会的;,82
,195,always,adv.总是，老是;永远，始终;常常;不断地;,81
,196,person,n.人;（语法）人称;身体;容貌;,81
,197,live,v.生存;居住;活着;留存;,81
,198,chinese,n.中国人;华人;中文;汉语;adj.中国的;中国人的;中国话的;中文的;,81
,199,feel,vt.感觉;认为;触摸;试探;vt.& vi.感觉，觉得;认为，以为;触摸;n.感觉;触摸;感受;触觉;vi.觉得;摸索;,80
,200,show,vt.& vi.给…看;表现出;显露出;上演;vt.说明;指示;表明;演示;n.展览;显示;外观;表演;vi.被人看见，显现，显而易见;,80
1,201,back,n.背，背部;背面，反面;后面，后部;（椅子等的）靠背;vt.使后退;支持;加背书于;下赌注于;vi.后退;倒退;adj.背部的;后面的;以前的;拖欠的;adv.以前;向后地;,80
,202,idea,n.主意，想法;[哲]理念，观念;[乐]乐句;模糊想法;,80
,203,small,adj.小的;难为情的;低级的，卑劣的;细微的，微弱的;adv.小小地;卑鄙地;n.细小部分，腰部;琐碎东西;身份低的人;矮小的人;,79
,204,really,adv.真，真正;实在，果真;实际上;事实上;,79
,205,today,adv.（在）今天;现在;现今;现代，当代;n.今天，今日;现代，当代;现今;,79
,206,doing,n.做;不能接受;难以完成;事件;v.做( do的现在分词 );干;学习;研究;,79
,207,enough,adv.足够地，充足地;十分地;adj.充足的;足够的;n.充分，足够;满足;int.够了;,78
1,208,times,n.时代;有时;总是;落后于时代;时间( time的名词复数 );时机;时代;所需时间;prep.乘，乘以;,78
,209,ll,none,78
,210,young,adj.年幼的;有朝气的;年轻人的;青年的;n.年轻人;幼小的动物，崽;,77
,211,american,none,77
1,212,aid,n.帮助;助手;外援;辅助设备;vt.帮助;资助;救助;促进;vi.帮助;,77
,213,large,adv.大大地;夸大地;详细地;顺风地;adj.大的;大规模的;大型号的;广泛的;v.玩个痛快;（尤指跳舞和饮酒）作乐;,76
,214,america,n.美洲;美国;[电影]亚美利加;,76
,215,third,n.第三;三分之一;第三档;adj.第三的;三分之一的;,76
,216,great,adj.伟大的，杰出的;优异的，显著的;很多的;重大的;adv.[口语]很好地;令人满意地，成功地，顺利地;得意地;n.大人物们;伟大人物;重要人物，大师;名家;,76
,217,sleep,vi.& link-v.睡，睡觉;vi.睡，睡觉;睡眠状态;vt.为…提供床位;提供住宿;以睡觉打发日子;n.睡眠;,76
,218,human,n.人，人类;adj.人的;有人性的;显示人类特有弱点的;人本性的;,75
,219,skills,none,75
,220,friends,none,75
,221,age,n.年龄;时代;老年;年龄段;vt.& vi.（使）长大;使显老;使变老;使苍老;vi.[化学]老化;陈化，熟化;（吸毒者随年龄增长而主动）戒毒，戒除毒品;vt.[化学]使老化;使陈化;使熟化;估计，推测（马的年龄）;,74
,222,future,adj.将来的，未来的;[语法学]将来时的;n.前途;[美国俚语]未婚妻;期货;,74
,223,learning,n.学问，学术，知识;v.学习(learn的现在分词);,73
,224,problems,n.问题( problem的名词复数 );疑难问题;习题;思考题;,72
,225,mr,abbr.Mister 先生;Master 少爷;Mother 母亲;molecular radius 分子半径;,72
,226,hours,none,71
,227,allowed,adj.[计]容许的;v.允许( allow的过去式和过去分词 );承认;酌增;接受;,70
,228,choice,n.选择;选择权;精选品;入选者;adj.上等的，精选的;,70
1,229,away,adv.离开，远离;在远处;消失;adj.不在的;遥远的;客场比赛;,69
1,230,spoken,adj.口头讲的;口头的;口语的;（用以构成复合词）具…说话特点的;v.讲，谈（ speak的过去分词 ）;说;演说;从某种观点来说;,69
,231,americans,none,69
,232,news,n.新闻;消息;（可当作新闻内容的）人;物;,68
1,233,rather,adv.稍微，有点;相当，颇;宁愿;相反地;int.当然啦，怎么不;,68
,234,attention,n.注意，注意力;照料，关怀;殷勤;int.[口令]立正;,68
,235,doesn,none,68
1,236,general,adj.大致的;综合的;总的，全体的;普遍的;n.上将;一般;一般原则;常规;,67
1,237,society,n.社会;上流社会;社团;社群;adj.上流社会的，社交界的;,67
,238,example,n.例子;榜样;范例;先例;vt.作为…的例子;为…做出榜样;vi.举例;作为…的示范;,66
,239,early,adj.早的;早期的;早日的;（果实等）早熟的;adv.早;在初期;先前;提早;,66
,240,listening,adj.收听的，收听无线电广播的;助听用的;v.倾听( listen的现在分词 );留心听;听信;（让对方注意）听着;,65
,241,global,adj.全球的，全球性的，有关全球大局的;全面的，整体的，全局的;球形的，球状的，球面的，球体的;[计]全程的;,65
1,242,decide,vt.决定;决心;解决;裁决;vi.决定;下决心;,65
,243,house,n.房屋;全家人;（从事某种生意的）公司;（英国）下议院;v.给…提供住房;收藏;安置;,65
,244,buy,vt.& vi.购买，购得;n.交易，买卖;便宜货;vt.够支付;买通;收买;贿赂;,65
